Order Month:,June - October,,,
Location:,Australia,,,
order_id,customer_id,payment,order_date,delivery_date
1,64,30811,30/08/2021,24/09/2021
3,774,46763,08/10/2021,03/11/2021
6,800,16197,09/09/2021,05/10/2021
10,659,21922,15/10/2021,16/10/2021
11,785,36624,15/06/2021,30/06/2021
12,120,55507,30/06/2021,11/07/2021
13,204,57810,15/10/2021,31/10/2021
15,468,15488,22/09/2021,08/10/2021
16,564,36479,07/07/2021,08/07/2021
19,513,56754,30/08/2021,10/09/2021
24,469,14566,04/09/2021,20/09/2021
25,562,47075,04/07/2021,08/07/2021
28,206,29968,19/08/2021,04/09/2021
30,260,59350,07/07/2021,26/07/2021
32,627,24976,17/06/2021,14/07/2021
33,588,52945,01/07/2021,07/07/2021
35,358,49665,31/08/2021,07/09/2021
36,51,32494,22/08/2021,04/09/2021
37,78,53949,07/07/2021,18/07/2021
42,690,33993,29/07/2021,02/08/2021
43,570,22839,13/07/2021,03/08/2021
44,849,17071,07/09/2021,22/09/2021
,,,,
46,922,25378,22/06/2021,04/07/2021
50,454,50310,16/09/2021,18/09/2021
52,493,32155,06/10/2021,29/10/2021
62,93,37952,30/07/2021,13/08/2021
65,388,22051,26/06/2021,22/07/2021
66,631,42774,14/08/2021,22/08/2021
73,965,16715,24/07/2021,19/08/2021
75,68,16667,24/08/2021,15/09/2021
76,470,22762,18/06/2021,26/06/2021
81,736,30150,13/06/2021,15/06/2021
83,537,39729,25/06/2021,01/07/2021
84,181,43438,26/08/2021,20/09/2021
86,874,27045,05/08/2021,11/08/2021
87,325,32961,20/06/2021,16/07/2021
88,567,10904,19/07/2021,15/08/2021
89,448,29268,22/10/2021,16/11/2021
90,809,11475,13/06/2021,07/07/2021
91,803,16601,02/09/2021,15/09/2021
93,908,52379,22/10/2021,11/11/2021
96,415,12119,20/06/2021,30/06/2021
99,291,26787,13/09/2021,25/09/2021
103,209,49852,16/06/2021,24/06/2021
104,366,11454,05/06/2021,23/06/2021
105,456,46013,25/06/2021,14/07/2021
110,607,15385,02/09/2021,06/09/2021
114,160,49686,08/08/2021,02/09/2021
120,585,53001,09/06/2021,14/06/2021
124,776,43888,06/07/2021,15/07/2021
125,321,29600,22/10/2021,03/11/2021
128,936,17661,13/10/2021,09/11/2021
130,439,12827,20/06/2021,15/07/2021
131,629,52850,20/09/2021,24/09/2021
133,878,43759,07/07/2021,17/07/2021
134,12,39451,19/06/2021,01/07/2021
136,539,35331,06/09/2021,08/09/2021
137,298,58875,18/10/2021,20/10/2021
139,871,11224,15/06/2021,28/06/2021
,,,,
141,528,40203,26/08/2021,13/09/2021
142,237,53165,15/06/2021,12/07/2021
146,912,22750,30/08/2021,26/09/2021
147,818,20690,28/09/2021,16/10/2021
150,462,34428,22/06/2021,27/06/2021
151,357,24626,08/08/2021,01/09/2021
153,727,49677,21/10/2021,17/11/2021
154,674,49994,17/10/2021,07/11/2021
155,834,11166,30/06/2021,18/07/2021
156,727,37878,10/07/2021,29/07/2021
158,828,14010,13/07/2021,04/08/2021
159,208,12449,05/09/2021,13/09/2021
160,725,41442,31/07/2021,06/08/2021
163,84,11473,12/06/2021,17/06/2021
165,389,28345,23/06/2021,20/07/2021
166,113,11914,11/07/2021,14/07/2021
167,595,44269,26/06/2021,18/07/2021
170,867,28597,17/08/2021,03/09/2021
171,443,19467,14/09/2021,16/09/2021
173,435,30001,06/06/2021,01/07/2021
176,574,28185,26/09/2021,04/10/2021
177,315,11314,20/08/2021,01/09/2021
179,161,52081,10/06/2021,27/06/2021
183,715,51587,06/10/2021,12/10/2021
184,240,48997,15/09/2021,29/09/2021
186,833,24061,26/09/2021,14/10/2021
189,586,41543,17/07/2021,08/08/2021
193,846,54256,06/06/2021,07/06/2021
194,415,21994,23/10/2021,03/11/2021
196,630,48990,22/10/2021,16/11/2021
198,640,29627,31/08/2021,13/09/2021
200,15,50335,24/08/2021,07/09/2021
203,369,40129,21/06/2021,11/07/2021
204,568,35005,30/09/2021,10/10/2021
206,654,24189,01/06/2021,16/06/2021
207,644,57755,25/09/2021,28/09/2021
208,28,39533,10/10/2021,15/10/2021
210,723,21903,22/07/2021,18/08/2021
212,62,29887,14/10/2021,08/11/2021
213,678,37684,14/09/2021,27/09/2021
214,288,25179,20/06/2021,09/07/2021
215,526,27531,10/08/2021,20/08/2021
217,234,47120,18/07/2021,31/07/2021
218,606,22309,12/07/2021,20/07/2021
220,555,23957,10/10/2021,25/10/2021
221,473,49366,03/08/2021,17/08/2021
222,368,28754,08/09/2021,05/10/2021
224,628,20293,07/07/2021,02/08/2021
225,664,27059,04/10/2021,26/10/2021
226,28,44799,09/07/2021,23/07/2021
227,406,36809,23/10/2021,19/11/2021
229,107,15827,08/10/2021,20/10/2021
230,497,54581,31/08/2021,18/09/2021
233,996,29939,03/09/2021,19/09/2021
,,,,
234,133,26314,18/09/2021,10/10/2021
235,767,23434,28/09/2021,12/10/2021
236,228,49109,15/07/2021,08/08/2021
239,530,45974,13/10/2021,02/11/2021
241,401,33692,22/07/2021,17/08/2021
242,909,12202,25/08/2021,13/09/2021
243,263,31631,06/07/2021,11/07/2021
244,637,18966,02/09/2021,09/09/2021
246,641,39230,19/06/2021,16/07/2021
247,68,39513,19/10/2021,12/11/2021
251,433,30132,31/07/2021,27/08/2021
253,179,38502,10/09/2021,02/10/2021
254,571,57662,07/08/2021,03/09/2021
255,605,16272,26/09/2021,15/10/2021
256,313,15452,09/08/2021,12/08/2021
258,742,38266,21/10/2021,13/11/2021
259,878,47527,16/08/2021,07/09/2021
260,317,56068,13/07/2021,25/07/2021
263,372,12599,19/06/2021,08/07/2021
264,636,55537,13/06/2021,18/06/2021
265,189,40896,04/07/2021,29/07/2021
267,34,44791,11/09/2021,12/09/2021
271,469,39282,07/06/2021,09/06/2021
273,828,13233,07/10/2021,03/11/2021
276,775,48376,20/06/2021,24/06/2021
279,620,51563,25/07/2021,28/07/2021
281,489,19908,03/07/2021,15/07/2021
283,303,14784,04/09/2021,15/09/2021
285,882,41206,25/09/2021,20/10/2021
287,799,10368,09/09/2021,03/10/2021
288,201,36160,13/10/2021,16/10/2021
290,364,48707,01/08/2021,16/08/2021
293,426,32389,05/08/2021,13/08/2021
294,499,50667,28/08/2021,15/09/2021
296,207,47076,22/10/2021,25/10/2021
297,256,23789,15/06/2021,27/06/2021
298,58,55984,11/09/2021,20/09/2021
300,912,47255,30/09/2021,25/10/2021
301,535,12986,21/06/2021,25/06/2021
302,156,32298,19/06/2021,07/07/2021
303,758,58670,02/09/2021,11/09/2021
305,234,13377,09/07/2021,26/07/2021
306,747,51492,16/10/2021,19/10/2021
307,679,17726,11/10/2021,28/10/2021
312,683,38591,06/07/2021,31/07/2021
313,266,24507,02/06/2021,11/06/2021
314,95,49262,14/08/2021,17/08/2021
316,179,59876,12/09/2021,20/09/2021
319,933,29837,22/08/2021,16/09/2021
320,41,19693,22/08/2021,12/09/2021
321,833,36589,26/08/2021,31/08/2021
322,686,41400,17/08/2021,12/09/2021
324,99,10411,05/07/2021,16/07/2021
326,199,15380,22/06/2021,01/07/2021
327,710,11611,28/07/2021,31/07/2021
333,367,21091,18/10/2021,09/11/2021
335,485,51638,30/09/2021,24/10/2021
337,341,49047,02/08/2021,04/08/2021
,,,,
340,841,56172,17/07/2021,13/08/2021
342,348,29452,24/08/2021,08/09/2021
343,673,37831,17/09/2021,06/10/2021
344,526,44938,16/08/2021,06/09/2021
348,732,42741,07/10/2021,28/10/2021
352,52,13270,08/10/2021,10/10/2021
360,870,45309,03/08/2021,08/08/2021
362,96,21601,30/09/2021,07/10/2021
366,334,43210,15/07/2021,30/07/2021
368,556,15258,02/09/2021,21/09/2021
371,727,28931,29/08/2021,15/09/2021
374,981,25047,05/06/2021,20/06/2021
376,571,15454,04/07/2021,17/07/2021
378,623,37922,29/09/2021,25/10/2021
383,469,36564,08/09/2021,14/09/2021
385,146,43155,08/08/2021,24/08/2021
387,341,34491,11/06/2021,14/06/2021
394,508,18584,06/09/2021,10/09/2021
398,13,31626,28/09/2021,13/10/2021
399,331,57278,21/10/2021,30/10/2021
400,907,44904,02/07/2021,25/07/2021
401,94,24512,14/08/2021,24/08/2021
403,980,17088,16/09/2021,25/09/2021
405,493,51471,09/08/2021,12/08/2021
406,892,35512,25/07/2021,18/08/2021
410,47,14296,04/08/2021,09/08/2021
412,427,25520,23/09/2021,13/10/2021
413,589,35487,17/10/2021,31/10/2021
415,947,35686,14/07/2021,19/07/2021
416,129,37878,08/10/2021,25/10/2021
417,729,45024,14/09/2021,11/10/2021
418,918,55376,24/08/2021,15/09/2021
419,745,19518,20/10/2021,10/11/2021
421,691,24273,28/09/2021,09/10/2021
423,507,34107,12/06/2021,21/06/2021
426,776,32793,26/09/2021,16/10/2021
432,20,37821,20/10/2021,03/11/2021
433,419,32215,18/08/2021,02/09/2021
436,739,47040,17/08/2021,10/09/2021
437,269,42857,25/08/2021,05/09/2021
439,286,15329,24/08/2021,06/09/2021
440,553,14884,09/10/2021,30/10/2021
445,893,27329,07/07/2021,27/07/2021
448,185,16486,20/08/2021,31/08/2021
449,163,56294,23/10/2021,09/11/2021
451,566,29859,25/08/2021,06/09/2021
452,123,50557,09/10/2021,22/10/2021
453,371,53761,13/08/2021,22/08/2021
456,450,53893,28/06/2021,20/07/2021
458,757,13142,21/10/2021,10/11/2021
459,853,24079,18/06/2021,06/07/2021
460,250,29924,07/06/2021,17/06/2021
464,103,26925,29/06/2021,25/07/2021
466,628,11363,10/06/2021,05/07/2021
470,810,18707,11/09/2021,04/10/2021
471,282,56849,08/07/2021,10/07/2021
472,85,44735,15/07/2021,29/07/2021
474,571,17401,19/08/2021,09/09/2021
476,757,42157,07/10/2021,02/11/2021
477,97,37504,20/06/2021,26/06/2021
478,452,17279,15/10/2021,23/10/2021
479,51,18796,27/06/2021,16/07/2021
480,180,38248,15/07/2021,05/08/2021
481,227,17525,20/08/2021,12/09/2021
482,111,59910,03/08/2021,09/08/2021
488,638,52570,01/10/2021,26/10/2021
489,77,28578,30/08/2021,21/09/2021
490,816,11291,15/09/2021,29/09/2021
492,568,49046,24/07/2021,07/08/2021
494,740,37675,31/07/2021,15/08/2021
495,352,41706,10/08/2021,19/08/2021
496,574,32782,17/06/2021,27/06/2021
497,900,29655,07/07/2021,09/07/2021
498,647,23201,15/07/2021,23/07/2021
499,690,52749,24/10/2021,26/10/2021
503,937,43249,19/08/2021,05/09/2021
505,737,37947,17/08/2021,27/08/2021
506,648,18355,11/09/2021,27/09/2021
507,58,29761,20/06/2021,11/07/2021
508,834,42640,17/07/2021,01/08/2021
510,125,47242,29/09/2021,01/10/2021
511,282,43667,22/08/2021,12/09/2021
512,223,21235,13/10/2021,05/11/2021
514,740,13918,12/07/2021,22/07/2021
517,797,37440,23/06/2021,30/06/2021
518,196,28347,03/06/2021,18/06/2021
519,244,23212,23/08/2021,12/09/2021
524,60,28334,21/07/2021,01/08/2021
525,986,32747,25/09/2021,20/10/2021
527,79,16864,13/09/2021,09/10/2021
528,343,56020,16/09/2021,07/10/2021
532,523,11590,08/09/2021,20/09/2021
533,558,28560,04/06/2021,09/06/2021
534,49,31586,23/09/2021,26/09/2021
541,490,29630,20/08/2021,22/08/2021
543,769,12692,28/07/2021,09/08/2021
545,439,53117,21/06/2021,02/07/2021
547,163,13784,19/10/2021,30/10/2021
548,135,19053,17/07/2021,26/07/2021
549,401,39916,02/06/2021,09/06/2021
550,26,52719,04/08/2021,09/08/2021
551,330,51823,16/09/2021,18/09/2021
555,922,42350,03/09/2021,09/09/2021
556,566,40530,30/07/2021,01/08/2021
562,632,45999,19/09/2021,03/10/2021
563,611,56965,04/07/2021,16/07/2021
564,583,16074,23/08/2021,19/09/2021
566,614,21778,24/07/2021,10/08/2021
567,104,25661,21/06/2021,23/06/2021
574,434,44975,21/06/2021,03/07/2021
575,54,27420,14/08/2021,16/08/2021
582,783,31116,03/09/2021,18/09/2021
584,142,37030,29/06/2021,01/07/2021
587,402,44323,08/09/2021,11/09/2021
589,692,11378,25/06/2021,20/07/2021
590,898,27817,06/07/2021,15/07/2021
591,588,39095,18/06/2021,06/07/2021
,,84657,23/06/2021,
,,13485,28/07/2021,
592,973,15464,29/06/2021,07/07/2021
594,711,22390,14/06/2021,23/06/2021
596,693,51828,13/06/2021,27/06/2021
597,107,22758,04/08/2021,16/08/2021
598,638,59393,20/06/2021,05/07/2021
599,308,47972,23/09/2021,17/10/2021
600,921,19484,15/09/2021,16/09/2021
601,916,24064,13/06/2021,28/06/2021
603,549,42922,30/08/2021,04/09/2021
604,492,21635,20/07/2021,13/08/2021
605,402,48620,20/08/2021,06/09/2021
607,648,36692,19/10/2021,12/11/2021
608,530,31878,13/08/2021,15/08/2021
610,735,27821,04/08/2021,31/08/2021
617,371,30281,30/08/2021,07/09/2021
618,882,28515,01/08/2021,26/08/2021
620,614,41599,19/07/2021,01/08/2021
621,102,41563,16/07/2021,07/08/2021
623,808,36530,20/10/2021,30/10/2021
625,233,54080,17/07/2021,28/07/2021
626,348,10193,30/09/2021,17/10/2021
628,534,20973,08/09/2021,28/09/2021
629,904,36276,07/08/2021,20/08/2021
633,183,30197,02/07/2021,13/07/2021
634,327,35370,13/10/2021,23/10/2021
635,50,51943,15/07/2021,05/08/2021
637,886,14294,06/08/2021,18/08/2021
638,548,12781,03/10/2021,17/10/2021
645,794,46397,19/08/2021,13/09/2021
648,522,43363,16/07/2021,19/07/2021
649,840,44955,28/07/2021,16/08/2021
654,417,40412,18/08/2021,30/08/2021
657,479,31922,22/07/2021,28/07/2021
659,328,45445,30/09/2021,15/10/2021
660,787,48757,16/08/2021,25/08/2021
661,427,15302,14/09/2021,17/09/2021
662,924,38356,19/09/2021,29/09/2021
666,456,36112,25/08/2021,11/09/2021
669,247,17921,18/06/2021,02/07/2021
671,156,28194,22/06/2021,08/07/2021
675,896,43080,05/06/2021,13/06/2021
676,889,52587,24/09/2021,11/10/2021
677,267,38429,05/07/2021,08/07/2021
681,463,53576,10/10/2021,19/10/2021
684,956,36919,12/10/2021,17/10/2021
685,851,22299,06/08/2021,21/08/2021
686,799,47994,14/06/2021,15/06/2021
689,884,12572,03/10/2021,28/10/2021
690,941,32100,05/10/2021,26/10/2021
692,697,13501,18/06/2021,05/07/2021
695,92,26374,01/07/2021,20/07/2021
696,230,50224,01/09/2021,27/09/2021
697,830,12310,20/07/2021,28/07/2021
700,788,55928,01/07/2021,26/07/2021
701,659,40717,28/08/2021,10/09/2021
702,310,31509,23/06/2021,14/07/2021
704,260,45954,21/07/2021,27/07/2021
706,844,12902,20/07/2021,21/07/2021
708,687,56307,24/10/2021,10/11/2021
709,772,36257,17/06/2021,13/07/2021
711,228,16935,22/06/2021,08/07/2021
712,474,11718,18/08/2021,29/08/2021
713,241,15915,14/07/2021,09/08/2021
715,225,51678,19/10/2021,12/11/2021
716,502,32660,31/07/2021,26/08/2021
719,387,24377,19/09/2021,24/09/2021
721,755,59414,28/08/2021,04/09/2021
722,401,20524,24/10/2021,20/11/2021
723,135,54098,03/10/2021,16/10/2021
725,674,55213,26/09/2021,05/10/2021
726,447,28356,15/09/2021,05/10/2021
728,526,10662,29/08/2021,30/08/2021
730,88,16533,20/06/2021,10/07/2021
731,214,44433,21/06/2021,02/07/2021
735,754,39820,03/10/2021,16/10/2021
738,144,57487,16/07/2021,09/08/2021
739,211,32122,14/09/2021,23/09/2021
742,750,51184,21/10/2021,01/11/2021
746,445,24804,19/06/2021,27/06/2021
749,693,25016,20/09/2021,24/09/2021
751,254,47650,20/06/2021,06/07/2021
752,535,46911,08/10/2021,12/10/2021
754,778,43858,30/06/2021,23/07/2021
757,632,45216,03/06/2021,15/06/2021
759,857,18160,06/06/2021,03/07/2021
760,207,14658,09/07/2021,11/07/2021
761,198,52629,03/10/2021,25/10/2021
762,83,25268,13/08/2021,20/08/2021
764,955,46239,16/09/2021,04/10/2021
766,929,13750,06/08/2021,15/08/2021
768,558,34334,29/09/2021,16/10/2021
769,422,32501,10/09/2021,04/10/2021
771,970,33204,06/06/2021,18/06/2021
772,573,32936,07/06/2021,27/06/2021
773,998,21349,19/07/2021,07/08/2021
774,416,31076,23/06/2021,13/07/2021
775,348,21561,11/06/2021,05/07/2021
776,265,44395,02/09/2021,27/09/2021
779,698,39836,07/07/2021,21/07/2021
781,465,44121,21/08/2021,11/09/2021
787,44,59055,18/07/2021,31/07/2021
788,108,18355,08/10/2021,13/10/2021
789,762,35084,11/10/2021,03/11/2021
792,240,13672,16/07/2021,12/08/2021
795,427,51672,07/06/2021,30/06/2021
796,592,18804,31/07/2021,06/08/2021
797,908,41715,25/07/2021,06/08/2021
800,422,20089,21/06/2021,23/06/2021
801,995,58829,02/08/2021,17/08/2021
802,501,52930,05/10/2021,23/10/2021
805,416,13968,02/10/2021,03/10/2021
806,684,41441,01/08/2021,16/08/2021
808,219,50929,13/10/2021,30/10/2021
811,764,23731,22/10/2021,24/10/2021
812,183,51668,09/07/2021,13/07/2021
813,908,52226,11/08/2021,01/09/2021
817,944,35818,27/06/2021,05/07/2021
820,801,33182,25/09/2021,03/10/2021
,,49756,21/06/2021,
822,524,17615,05/09/2021,12/09/2021
826,375,32770,16/08/2021,06/09/2021
831,338,17700,04/08/2021,20/08/2021
832,627,52583,06/09/2021,27/09/2021
836,971,16047,18/08/2021,24/08/2021
839,306,42095,16/09/2021,27/09/2021
840,183,50682,30/06/2021,08/07/2021
841,348,39690,29/06/2021,12/07/2021
843,956,17717,03/07/2021,09/07/2021
844,35,34733,26/09/2021,18/10/2021
846,515,58585,17/09/2021,10/10/2021
847,566,43999,19/10/2021,04/11/2021
848,813,18195,24/09/2021,14/10/2021
849,882,21468,11/08/2021,01/09/2021
853,653,28448,27/09/2021,18/10/2021
854,680,55361,10/08/2021,27/08/2021
857,577,43897,01/09/2021,10/09/2021
862,984,43784,11/10/2021,20/10/2021
865,490,24343,27/07/2021,30/07/2021
869,605,11108,25/09/2021,20/10/2021
870,647,47385,01/08/2021,12/08/2021
871,550,10888,24/09/2021,08/10/2021
872,954,43868,26/09/2021,14/10/2021
877,558,25468,14/07/2021,02/08/2021
879,370,37561,11/10/2021,20/10/2021
882,821,53666,05/07/2021,07/07/2021
884,62,54659,16/08/2021,08/09/2021
885,16,27561,18/10/2021,13/11/2021
886,898,51067,22/09/2021,18/10/2021
889,332,27115,31/07/2021,11/08/2021
890,649,54889,21/06/2021,07/07/2021
891,350,36118,12/08/2021,14/08/2021
894,1000,35622,11/10/2021,13/10/2021
895,664,56830,26/07/2021,15/08/2021
897,278,46681,26/08/2021,17/09/2021
898,465,51868,30/06/2021,04/07/2021
899,408,32250,04/08/2021,14/08/2021
900,409,31161,07/07/2021,24/07/2021
907,971,26863,15/08/2021,17/08/2021
909,465,34050,18/07/2021,09/08/2021
911,189,58886,23/08/2021,06/09/2021
912,780,48097,23/08/2021,09/09/2021
916,189,31001,12/10/2021,19/10/2021
919,97,53662,29/06/2021,21/07/2021
920,703,27722,26/07/2021,16/08/2021
922,703,36995,10/10/2021,02/11/2021
923,767,28421,05/07/2021,26/07/2021
925,272,47553,16/07/2021,12/08/2021
927,963,24139,02/08/2021,06/08/2021
928,801,42930,14/10/2021,19/10/2021
930,150,17581,22/06/2021,30/06/2021
931,502,12528,04/06/2021,19/06/2021
932,45,27978,22/08/2021,23/08/2021
935,129,16962,01/07/2021,16/07/2021
936,148,47197,16/07/2021,01/08/2021
937,72,13216,04/06/2021,25/06/2021
938,128,41631,12/06/2021,28/06/2021
940,813,11980,11/09/2021,04/10/2021
941,662,56019,30/09/2021,05/10/2021
942,282,46279,09/06/2021,10/06/2021
944,774,27648,17/07/2021,09/08/2021
945,54,11172,04/07/2021,22/07/2021
947,49,47022,24/06/2021,02/07/2021
948,35,18783,24/08/2021,02/09/2021
950,328,43066,16/10/2021,31/10/2021
951,515,28300,30/09/2021,23/10/2021
952,883,57857,05/08/2021,25/08/2021
957,740,47132,20/08/2021,30/08/2021
,,49735,15/07/2021,
958,577,42170,21/06/2021,01/07/2021
960,362,32197,19/09/2021,07/10/2021
963,108,18632,18/06/2021,14/07/2021
964,367,22258,08/07/2021,16/07/2021
965,69,14014,24/07/2021,29/07/2021
967,306,32010,11/10/2021,07/11/2021
971,272,40173,26/08/2021,12/09/2021
972,117,10698,22/07/2021,08/08/2021
973,232,49214,04/09/2021,24/09/2021
976,778,11014,15/10/2021,04/11/2021
980,84,57728,19/10/2021,14/11/2021
981,830,37730,02/10/2021,12/10/2021
983,677,49941,12/07/2021,14/07/2021
984,359,10390,23/09/2021,30/09/2021
986,116,13431,02/08/2021,15/08/2021
987,247,30215,13/07/2021,09/08/2021
990,87,40306,17/08/2021,06/09/2021
992,770,53679,23/07/2021,14/08/2021
994,920,59074,15/07/2021,17/07/2021
999,428,31643,15/06/2021,12/07/2021
3006,156,19484,15/09/2022,
3124,765,24064,13/06/2022,
2986,465,42922,30/08/2022,
2848,778,21635,20/07/2022,
2710,698,48620,20/08/2022,
2572,105,36692,19/10/2022,
2741,346,31878,13/08/2022,
2910,748,27821,04/08/2022,
3079,941,30281,30/08/2022,
3248,543,28515,01/08/2022,
